               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074457,            0.049143,            0.016579,             0.56814,             0.67122,             0.65803,             0.31201,            0.048857,            0.022363,           0.0042885,            0.070213,           0.0033097,           0.0033097
                   1,            0.052062,            0.036796,           0.0047274,             0.74677,             0.78922,             0.82386,             0.41293,            0.040966,            0.018884,           0.0026853,            0.040191,           0.0066211,           0.0066211
                   2,            0.047205,            0.034718,           0.0039222,             0.75958,             0.81534,             0.84848,             0.47581,            0.037457,            0.018946,           0.0024123,            0.010147,           0.0099105,           0.0099105
                   3,            0.040577,             0.03349,           0.0032927,             0.84476,             0.82177,             0.87932,             0.49092,            0.034661,            0.019117,           0.0023601,            0.009901,            0.009901,            0.009901
                   4,            0.036647,            0.032663,           0.0028696,             0.85374,             0.83183,             0.90575,             0.56537,            0.031383,            0.018717,           0.0020274,            0.009901,            0.009901,            0.009901
                   5,            0.034696,            0.032453,            0.002539,             0.86608,             0.82306,             0.89134,             0.56672,            0.030253,            0.019182,           0.0018065,            0.009868,            0.009868,            0.009868
                   6,             0.03302,            0.031566,           0.0023813,             0.89182,             0.85185,             0.92636,             0.58713,            0.029112,            0.017562,           0.0015364,            0.009835,            0.009835,            0.009835
                   7,            0.031603,            0.030318,           0.0022235,             0.87998,             0.88099,             0.93688,             0.64106,             0.02619,            0.017184,           0.0015262,            0.009802,            0.009802,            0.009802
                   8,             0.03079,            0.030092,           0.0020659,             0.88385,             0.87563,             0.93456,             0.63528,            0.026713,            0.017287,           0.0013882,            0.009769,            0.009769,            0.009769
                   9,            0.029771,            0.029717,           0.0019156,             0.90343,             0.89644,             0.94859,             0.67298,            0.025209,            0.016313,           0.0012605,            0.009736,            0.009736,            0.009736
                  10,            0.029068,            0.029701,           0.0018323,              0.8875,             0.89394,             0.94418,             0.64182,            0.026585,            0.016415,           0.0013086,            0.009703,            0.009703,            0.009703
                  11,            0.028852,            0.029725,           0.0017942,             0.89699,             0.89956,             0.94821,             0.66767,            0.026013,            0.016269,           0.0012706,             0.00967,             0.00967,             0.00967
                  12,            0.028383,            0.029223,           0.0019617,             0.89462,             0.90701,             0.94922,             0.67481,            0.024664,            0.016085,           0.0011557,            0.009637,            0.009637,            0.009637
                  13,            0.027929,            0.028482,           0.0017506,             0.88601,             0.89516,             0.94858,             0.68111,            0.024018,            0.016184,           0.0011643,            0.009604,            0.009604,            0.009604
                  14,            0.027561,            0.028586,           0.0016093,             0.91629,             0.88917,             0.95255,             0.69168,            0.023826,            0.015932,           0.0011191,            0.009571,            0.009571,            0.009571
                  15,            0.026946,            0.027924,           0.0016055,             0.89815,             0.89922,             0.94699,             0.68349,            0.024495,            0.016118,           0.0013724,            0.009538,            0.009538,            0.009538
                  16,            0.026818,            0.028134,           0.0016468,             0.90579,             0.90238,             0.95178,             0.68478,            0.024064,            0.016224,           0.0010928,            0.009505,            0.009505,            0.009505
                  17,            0.026531,            0.027567,           0.0014871,             0.91155,             0.90865,              0.9529,             0.70352,            0.022727,             0.01556,           0.0011553,            0.009472,            0.009472,            0.009472
                  18,            0.026058,            0.027525,           0.0016237,             0.91429,             0.90635,             0.95459,             0.70686,             0.02266,            0.015431,           0.0011987,            0.009439,            0.009439,            0.009439
                  19,            0.026151,            0.026995,           0.0016051,             0.90394,             0.91286,             0.95608,             0.69412,            0.024179,             0.01545,           0.0011094,            0.009406,            0.009406,            0.009406
                  20,            0.025555,            0.027662,            0.001549,             0.91612,             0.90879,             0.95864,             0.71136,            0.022638,            0.015146,           0.0012197,            0.009373,            0.009373,            0.009373
                  21,            0.025521,            0.026883,           0.0014794,             0.90223,             0.90976,              0.9543,             0.70571,            0.022611,            0.015344,          0.00096329,             0.00934,             0.00934,             0.00934
                  22,            0.025587,            0.027004,           0.0013417,             0.90519,             0.91318,             0.95602,             0.71216,            0.022679,            0.015369,           0.0010005,            0.009307,            0.009307,            0.009307
                  23,            0.024848,            0.026365,           0.0013462,               0.909,              0.9102,             0.95698,              0.7058,            0.022665,            0.015514,           0.0010436,            0.009274,            0.009274,            0.009274
                  24,            0.024938,            0.026837,           0.0013571,             0.90587,             0.91051,              0.9573,              0.7161,            0.022444,            0.015348,           0.0010031,            0.009241,            0.009241,            0.009241
                  25,            0.024772,            0.026633,            0.001346,             0.92099,             0.90884,             0.95606,             0.71842,             0.02232,            0.015405,           0.0010512,            0.009208,            0.009208,            0.009208
                  26,            0.024742,            0.026318,           0.0013099,             0.91041,             0.91103,             0.95694,             0.71366,            0.022285,            0.015343,           0.0010451,            0.009175,            0.009175,            0.009175
